id,created_at,text,hashtags,retweets
1268893554694381569,2020-06-05 13:12:52,"Oberst a.D. @MdB_Lucassen war 34 Jahre Offizier der @bundeswehrInfo. Ihm ist es ein Anliegen darauf hinzuweisen, wo… https://t.co/XwpNbDmz5F",[],38
1268178731933347844,2020-06-03 13:52:25,MdB @SteffenKotre sieht Einschränkungen der staatsbürgerlichen Rechte und Pflichten mittlerweile auch in… https://t.co/gJz6dThdtE,[],27
1267173184153038849,2020-05-31 19:16:44,"Für @Th_Seitz_AfD ist das #Rechtsstaatsprinzip aus Art.20 #GG von größter Bedeutung. Die Erkenntnis, dass der… https://t.co/LP09SoxKzN","[{'text': 'Rechtsstaatsprinzip', 'indices': [26, 46]}, {'text': 'GG', 'indices': [58, 61]}]",25
1265933019187118085,2020-05-28 09:08:46,"Der Diplom-Verwaltungswirt und stellvertretende Präsident des @Brandenburg_LT, Andreas #Galau, macht sich besonders… https://t.co/Lny68qz6I7","[{'text': 'Galau', 'indices': [87, 93]}]",8
1264974092282867712,2020-05-25 17:38:20,Für Diplom-Ingenieur @Joerg_UrbanAfD heißt „Alle #Staatsgewalt geht vom Volke aus“ in Art.20 #Grundgesetz ganz klar… https://t.co/0prkfEavxk,"[{'text': 'Staatsgewalt', 'indices': [49, 62]}, {'text': 'Grundgesetz', 'indices': [93, 105]}]",38
1264158680381095936,2020-05-23 11:38:10,"RT @AfD: Wie selten zuvor steht unser #Grundgesetz an seinem 71. Geburstag unter Beschuss: Von links, von rechts, aber -und das ist neu- je…","[{'text': 'Grundgesetz', 'indices': [38, 50]}]",64
1263954063365988352,2020-05-22 22:05:06,Happy Birthday! #gemeinsamfuerdasGrundgesetz https://t.co/KrKKrYd8Uf,"[{'text': 'gemeinsamfuerdasGrundgesetz', 'indices': [16, 44]}]",28
1263949958916435968,2020-05-22 21:48:47,"Die #Grundrecht auf #Versammlungsfreiheit ist für @juergenkleinafd von besonderer Bedeutung ist, allerdings nur sol… https://t.co/rudU29qS5T","[{'text': 'Grundrecht', 'indices': [4, 15]}, {'text': 'Versammlungsfreiheit', 'indices': [20, 41]}]",13
1263204482067968000,2020-05-20 20:26:32,"Schuldirektorin Nicole Höchst macht sich Sorgen um den #Bildungsstandort #Deutschland, da die #Freiheit von #Lehre… https://t.co/5ve8FgC2ZT","[{'text': 'Bildungsstandort', 'indices': [55, 72]}, {'text': 'Deutschland', 'indices': [73, 85]}, {'text': 'Freiheit', 'indices': [94, 103]}, {'text': 'Lehre', 'indices': [108, 114]}]",33
1262382287678836738,2020-05-18 13:59:25,"Unternehmensberater @FrankHansel erinnert daran, dass Schwarz-Rot-Gold die deutschen Farben sind. So steht es in un… https://t.co/8LR2dHYhAW",[],28
1261336676695236609,2020-05-15 16:44:32,"Elektroinstallateur und Finanzanlagenfachmann @AfDProtschka ruft uns alle dazu auf, die #Meinungsfreiheit, laut… https://t.co/OvjIM12evh","[{'text': 'Meinungsfreiheit', 'indices': [88, 105]}]",21
1260616149840080907,2020-05-13 17:01:25,"Diplom-Ingenieur und #Sportpolitik|er Jörn König liegt vor allem der Schutz von #Ehe und #Familie, wie ihn Artikel… https://t.co/Tvtpx3G0wu","[{'text': 'Sportpolitik', 'indices': [21, 34]}, {'text': 'Ehe', 'indices': [80, 84]}, {'text': 'Familie', 'indices': [89, 97]}]",13
1258939605094666240,2020-05-09 01:59:26,"Tosca Kniese aus Thüringen ist vor allem die #Freiheit der Person wichtig, die uns Artikel 2 des #Grundgesetz|es ga… https://t.co/fsTbXk7gUE","[{'text': 'Freiheit', 'indices': [45, 54]}, {'text': 'Grundgesetz', 'indices': [97, 109]}]",17
1258396590768828416,2020-05-07 14:01:41,Die Versammlungsfreiheit ist für @HughBronson_AfD und das @BVerfG ein demokratie-konstituierendes #Grundrecht - auc… https://t.co/v6iiClcPHy,"[{'text': 'Grundrecht', 'indices': [98, 109]}]",14
1258376755842293761,2020-05-07 12:42:52,"Was geht hier vor, @polizeiberlin? Es gibt keine Ein-Personen-Versammlungen. Und sofern es um die Ausgangsbeschränk… https://t.co/ayJKxRSkP7",[],133
1258128181363716096,2020-05-06 20:15:07,Auch Dr. Sergej Henke macht sich Sorgen um unsere #Grundrechte in der #Corona-Krise - auch und gerade um die freie… https://t.co/3vR8NjnNJt,"[{'text': 'Grundrechte', 'indices': [50, 62]}, {'text': 'Corona', 'indices': [70, 77]}]",19
1256674467729879040,2020-05-02 19:58:35,Erosion von #Recht und #Freiheit. Lisa Lehmann fühlt sich als Nachwendekind in der letzten (#Corona)-Zeit an das er… https://t.co/VDfvBgbBgV,"[{'text': 'Recht', 'indices': [12, 18]}, {'text': 'Freiheit', 'indices': [23, 32]}, {'text': 'Corona', 'indices': [92, 99]}]",45
1255866074903588866,2020-04-30 14:26:19,"RT @DanielC_BILDde: Hamburg, Bayern, Saarland. Gerichte zerpflücken #Corona Einschränkungen reihenweise. In Berlin sollte man die Urteile g…","[{'text': 'Corona', 'indices': [68, 75]}]",86
1255520881956327427,2020-04-29 15:34:39,Unglaublich! Auf dieses Mittel schwört die Regierung! https://t.co/UXDVnKaYJu,[],101
1254747647933587456,2020-04-27 12:22:06,"Interessant ist auch dieser katholische Beitrag zur #LockdownEnd-Debatte, der sich zwar nicht explizit auf das… https://t.co/zOSJ9axTE4","[{'text': 'LockdownEnd', 'indices': [52, 64]}]",12
1254745947332128770,2020-04-27 12:15:20,"@benkonietzny @BILD @Tagesspiegel Danke für den Hinweis, der Tweet wurde ersetzt.",[],0
1254745842906521600,2020-04-27 12:14:55,"Bundestagspräsident Wolfgang #Schäuble findet im @Tagesspiegel-Interview die richtigen Worte. Hoffen wir, dass sie… https://t.co/nBnb1oqylo","[{'text': 'Schäuble', 'indices': [29, 38]}]",7
1254341646361206784,2020-04-26 09:28:47,Als Berufsoffizier schwor @Georg_Pazderski einen Eid auf #Deutschland 🇩🇪 und das #Grundgesetz. Heute sieht er die s… https://t.co/lrVWwxAaRU,"[{'text': 'Deutschland', 'indices': [57, 69]}, {'text': 'Grundgesetz', 'indices': [81, 93]}]",58
1253685002354790400,2020-04-24 13:59:31,"Journalist @Nicolaus_Fest weist darauf hin, dass schon das @BVerfG festgestellt hat, dass die #Meinungsfreiheit die… https://t.co/Eez4IuT5ly","[{'text': 'Meinungsfreiheit', 'indices': [94, 111]}]",35
