id,created_at,text,hashtags,retweets
1270319854197846017,2020-06-09 11:40:29,RT @UK_National: Why we had Covid-19:https://t.co/rS7GD0UJiR@ArthurW55595895 @boblister_poole @specialXservice @TruthsayerOdet1 @CllrBSi…,[],6
1270318990112501760,2020-06-09 11:37:03,RT @PeterRespiriou: Don't forget the bloody Normans https://t.co/0nXn0DzMd2,[],5
1270317761806438400,2020-06-09 11:32:10,RT @CllrBSilvester: My latest interview on @SputnikIntGeorge Floyd protesters in UK are being treated differently to the anti-lockdown pro…,[],45
1270317695452565506,2020-06-09 11:31:54,"RT @CllrBSilvester: ""Trump 'Right to Designate' #Antifa as Terrorists.The Anit-fascists have  become the fascists.#Boris should follow #P…","[{'text': 'Antifa', 'indices': [48, 55]}, {'text': 'Boris', 'indices': [116, 122]}]",31
1270317256447266816,2020-06-09 11:30:09,"RT @Paul70603676: @CllrBSilvester Lol, there's going to be nothing left standing if we all reacted to what we didn't like.The left, MSM a…",[],6
1270313191189479424,2020-06-09 11:14:00,Romans ruled over Brits for 367 yrs.They enslaved us.We need to dig up all Roman roads &amp; knock down all Roman rem… https://t.co/C7uQsexa1G,[],20
1270313039892529152,2020-06-09 11:13:24,Romans ruled over Brits for 367 yrs.They enslaved us.We need to dig up all Roman roads &amp; knock down all Roman rem… https://t.co/JMxicAmBxY,[],52
1270309613494308867,2020-06-09 10:59:47,"RT @Ef4vescent: @Engineer4Health @allisonpearson @CllrBSilvester It's been bad enough as a younger, fit, healthy, active, gregarious person…",[],3
1270270091725352963,2020-06-09 08:22:45,RT @SuffolkRoyal: @CllrBSilvester And there’s ends the first lesson about how anarchy starts.When the police stand aside and let the mob…,[],13
1270269394053214209,2020-06-09 08:19:58,Ridiculous. #Virus is disappearing fast.Kids have virtually zero chance of dying from it.Kids and parents are fa… https://t.co/Y0Tpn6Hw4A,"[{'text': 'Virus', 'indices': [13, 19]}]",9
1270261453875003399,2020-06-09 07:48:25,"RT @prewertdc: The fact that celebrities have raised $20,000,000 for rioters bail and $0 for looting victims speaks volumes about the elite.",[],20082
