id,created_at,text,hashtags,retweets
1270258510555680770,2020-06-09 07:36:43,@use4a_no Thank you!,[],0
1270257427229933570,2020-06-09 07:32:25,@ShaneGo38142470 Thank you so much.,[],0
1270219654615781383,2020-06-09 05:02:19,@TennFloridian @POTUS Message me.,[],3
1270219569404227584,2020-06-09 05:01:59,@2AWoman @ElenaFelicia4 Message me.,[],5
1270200477909684224,2020-06-09 03:46:07,"@jessb1ack Hi, Jessica. Thank you for supporting my efforts to clean up cities across America. President Trump… https://t.co/ELeR27CXwB",[],2
1270199618001829888,2020-06-09 03:42:42,"@RealDealAxelrod @majorcandidate I haven’t met President Trump, yet. Maybe one day.",[],34
1270198463498727424,2020-06-09 03:38:07,@DanScavino This makes me so happy.,[],341
1270183554262142976,2020-06-09 02:38:52,@BrandonStraka @minneapolismn52 🤝 https://t.co/JPgcy3cbVA,[],172
1270177122427064321,2020-06-09 02:13:19,"@BrandonStraka @minneapolismn52 Oh, gosh. Brandon wins this one!But, in all seriousness, I couldn’t be more pro… https://t.co/YnaXcHvyxq",[],53
1270158710313308162,2020-06-09 01:00:09,"@realDonaldTrump I can’t wait for your next rally, Mr. President.",[],1034
1270139332859514882,2020-06-08 23:43:09,@TrumpVictoryWI @CivicYouth @WIYRs @WICRs @RyanAFournier @TPUSA @CRNC @AKnowles93 @charliekirk11 @wisgop @uweccrs T… https://t.co/ogneV00ZVY,[],5
1270138861998477312,2020-06-08 23:41:17,"@RealDealAxelrod @majorcandidate Thank you, Bobby. There are enough forces trying to divide us. We are all on t… https://t.co/3GbwBxBzev",[],54
1270137540767555585,2020-06-08 23:36:02,"@MattLansing1 @realDonaldTrump Thank you so, so, so much.",[],7
1270086661045706758,2020-06-08 20:13:51,@jayno_kc @realDonaldTrump Thank you.,[],5
1270086657820233734,2020-06-08 20:13:50,"I can’t offer a lot, but I can offer passion, heart, &amp; soul. And I promise to never stop speaking out. https://t.co/1SMovhuvCr",[],4825
1270082946276503552,2020-06-08 19:59:06,@cuteangiie Yes!,[],2
1270082505639628800,2020-06-08 19:57:20,@realDonaldTrump Every single Republican needs to take off Election Day &amp; sign up as election judges and poll wor… https://t.co/Eesd2CFgma,[],1721
1270078282063634438,2020-06-08 19:40:34,"If you have a fence, trailer, or part of your property that we can paint on “Trump 2020,”please message me.",[],478
1270076042057842691,2020-06-08 19:31:39,@RedWavePirate Thank you so much!,[],20
1270067918160695296,2020-06-08 18:59:23,@Ish_Arse @realDonaldTrump Thank you. Are you registered to vote at your current address?,[],6
1270067802712551427,2020-06-08 18:58:55,@JustAGirlIn415 Florida &amp; Ohio are going for Trump. Ohio will be a slam dunk.,[],54
