id,created_at,text,hashtags,retweets
1270359078506762241,2020-06-09 14:16:21,RT @catafoiawins: Avaliem as postagens da pobre alma que me seguia. Seguia. https://t.co/n8QCHZRjrR,[],24
1270358856716169216,2020-06-09 14:15:28,"RT @catafoiawins: Cata Spoiler.Em pouco tempo, 2020 será conhecido como o ""Ano da Grande Mentira""!Especiais de Natal, teses, quadrinhos…",[],188
1270358545565958147,2020-06-09 14:14:14,RT @LUCIANOFELIPED9: @nostrendsbrasil Jair Messias Bolsonaro 38#FechadoComBolsonaro https://t.co/Iet3mG6pXv,"[{'text': 'FechadoComBolsonaro', 'indices': [65, 85]}]",14
1270358459364540421,2020-06-09 14:13:53,RT @nostrendsbrasil: Qual hashtag você apoia?,[],614
1270358402796064770,2020-06-09 14:13:40,RT @_SaraWinter: Votem em #FechadoComBolsonaro https://t.co/vNa4Sh1kYL,"[{'text': 'FechadoComBolsonaro', 'indices': [26, 46]}]",87
1270358381778386945,2020-06-09 14:13:34,RT @prayingmedic: Great Awakening. https://t.co/y24RwY0aeM,[],505
1270358270197235712,2020-06-09 14:13:08,RT @jorgeofco: Mais uma vez alerto que meu único perfil oficial nas redes sociais é este. Não tenho outro no Twitter e nem estou em qualque…,[],319
1270358206544568322,2020-06-09 14:12:53,RT @Clauwild1: Perguntar não ofende...Os jornalistas “profissionais” e as ‘agências de checagem’ pedirão desculpas para as pessoas que nã…,[],108
1270358157773152256,2020-06-09 14:12:41,"RT @ArthurWeint: A oms, cujo diretor nem médico é, deveria indenizar o planeta pelos ""erros"" que cometeu. E nenhum país deveria contribuir…",[],1086
1270358051883753476,2020-06-09 14:12:16,RT @BolsonaroSP: A Ministra @DamaresAlves cancelou o pagamento de indenizações de anistia a 300 pessoas que se diziam perseguidas no Regime…,[],157
1270357989774540800,2020-06-09 14:12:01,RT @CarlaZambelli38: Nada melhor que o tempo!#BolsonaroTemRazao https://t.co/97AYxUmIco,"[{'text': 'BolsonaroTemRazao', 'indices': [47, 65]}]",599
1270357944354340864,2020-06-09 14:11:50,RT @55true4u: THE GREAT AWAKENING!!!,[],99
1270357761373634560,2020-06-09 14:11:07,"RT @BolsonaroSP: Dez da manhã, crianças em casa, sem poder ir à escola ou sair pra brincar.O que a Globo deveria exibir? Desenhos e progr…",[],704
1270357650891591687,2020-06-09 14:10:40,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,[],12326
1270357377217331203,2020-06-09 14:09:35,"RT @tercalivre: Presidente da OAB terá 10 dias para explicar omissão na defesa de advogados do ""inquérito das fake news"" - https://t.co/q5T…",[],1202
1270357346267598849,2020-06-09 14:09:28,RT @tercalivre: Pedidos de falência sobem 30% em maio no Brasil - https://t.co/ET4Rz6Sydq,[],583
1270357322192302082,2020-06-09 14:09:22,RT @tercalivre: Brasil vai propor investigação e reformulação da OMS - https://t.co/LM6hwrQkPH,[],466
1270357282841395200,2020-06-09 14:09:12,RT @tercalivre: Damares cancela 295 anistias a ex-cabos da Aeronáutica - https://t.co/jyQOn9b0q0,[],46
1270357244614451200,2020-06-09 14:09:03,RT @tercalivre: TSE começa a julgar pedidos de cassação da chapa de Bolsonaro nesta terça - https://t.co/tv25NA23rj,[],32
1270357183310561281,2020-06-09 14:08:49,RT @tercalivre: Ministro do STF manda governo divulgar dados totais de covid-19 - https://t.co/7ysVNZxqtM,[],21
1270356798994874369,2020-06-09 14:07:17,RT @Josefer70649021: @Clauwild1 Já viu isso Claudia? Mais uma Interferência do STF no poder executivo! https://t.co/Txtjn5paAW,[],4
1270356697366827008,2020-06-09 14:06:53,"RT @Clauwild1: Chamar o presidente de ‘Hitler nazista, genocida’, comparando seu governo à Alemanha nazista? Pode! Atacar 24 h por dia a ho…",[],321
1270356674289774593,2020-06-09 14:06:47,"RT @Clauwild1: Assim, é enorme a desfaçatez dos figurões podres do poder e seus aliados. Conspiram 24 h por dia para derrubar o presidente,…",[],204
1270356614843949057,2020-06-09 14:06:33,"RT @Clauwild1: Todavia, o aparelhamento esquerdista da máquina estatal viabiliza os planos dos comunolarápios. Ele foi bastante efetivo até…",[],228
1270356569356673027,2020-06-09 14:06:22,RT @Clauwild1: Só não pode mostrar quem são os verdadeiros vilões. Não pode ter liberdade de expressão. Não pode ter internet livre. Como n…,[],281
1270355738712514563,2020-06-09 14:03:04,RT @UNBORNness: @realDonaldTrump GOD Bless US#Trump2020NowMoreThanEver https://t.co/6p3812iHH6,"[{'text': 'Trump2020NowMoreThanEver', 'indices': [47, 72]}]",11
1270355328517971969,2020-06-09 14:01:27,"RT @dreamboum: Thankfully in France, firefighters are just beating the shit out of cops instead https://t.co/JT8myWPtMK https://t.co/eBTi9C…",[],100717
1270355042726526977,2020-06-09 14:00:18,RT @BasedPoland: Congratulations @DouglasGarcia for your great work in collecting info on Brazilian #Antifa &amp; sending it to the US Departme…,"[{'text': 'Antifa', 'indices': [100, 107]}]",500
1270355007133622273,2020-06-09 14:00:10,RT @Fernanda_CidL: 👏🏻👏🏻👏🏻 https://t.co/XnwXau0aWY,[],3
1270354954352578560,2020-06-09 13:59:57,"RT @Fernanda_CidL: Se ele critica, já sei q a PF está certa. Nem preciso ler a matéria. https://t.co/YJdHVm9zXT",[],4
1270351227885441024,2020-06-09 13:45:09,RT @claudiodemetri3: @realDonaldTrump @WhiteHouse https://t.co/dkNvyBJDYE,[],8
1270351205240365060,2020-06-09 13:45:03,RT @realDonaldTrump: .@WhiteHouse TRANSITION TO GREATNESS!,[],6672
1270351129264771074,2020-06-09 13:44:45,@realDonaldTrump GOD Bless US#Trump2020NowMoreThanEver https://t.co/6p3812iHH6,"[{'text': 'Trump2020NowMoreThanEver', 'indices': [31, 56]}]",11
1270350878285889538,2020-06-09 13:43:46,RT @realDonaldTrump: THE REAWAKENING OF AMERICA!,[],11938
1270349389412909056,2020-06-09 13:37:51,Tristehttps://t.co/Tp5P2Pt03c,[],0
1270343945093033985,2020-06-09 13:16:13,RT @Clauwild1: @edgaruda23 @UNBORNness Dentro do Planalto eles não estão.,[],1
1270343773508325380,2020-06-09 13:15:32,"RT @augustonunessp: @bernardopkuster @UNBORNness Esses caras se dizem cristãos, mas inventam fake news até da Bíblia!",[],1
1270343625029890048,2020-06-09 13:14:56,RT @jackiebolsonaro: #BolsonaroTemRazao https://t.co/9h69kdNCTB,"[{'text': 'BolsonaroTemRazao', 'indices': [21, 39]}]",4
1270343588401090562,2020-06-09 13:14:47,RT @jackiebolsonaro: STF decretou q não pode ter ação policial na favela e o resultado foi o baile do Covid. Até quando o STF mandará nos p…,[],11
1270343550782316547,2020-06-09 13:14:39,"RT @jackiebolsonaro: Patriotas q estão me seguindo, agradeço e segurei a todos de volta, só q dessa vez será aos poucos p não me bloquearem…",[],9
1270343388018216962,2020-06-09 13:14:00,"RT @JoseConserva73: O Brasil e mundo já sabem disso, por isso já começaram coma fake news , falando exatamente o contrário! Ex-ministro do…",[],976
1270343264227508224,2020-06-09 13:13:30,RT @bernardopkuster: Olavo NUNCA pediu dinheiro ao Luciano Hang e deixou isto bem claro nos vídeos mais recentes publicados em seu canal. F…,[],2457
1270343191489925122,2020-06-09 13:13:13,RT @bernardopkuster: Judas Iscariotes foi o primeiro teólogo da libertação.,[],654
1270343158665281536,2020-06-09 13:13:05,RT @bernardopkuster: Mamãe Rachei?https://t.co/jzsI4gOKGV,[],2826
1270343108312682498,2020-06-09 13:12:53,RT @WORD_NEWSS: OMS volta tanto atrás que Fernando Henrique Carndoso é presidente de novo. https://t.co/YM0MCqYiTn,[],319
1270342939617738753,2020-06-09 13:12:13,"RT @JornalBSM: A TRAIÇÃO DOS GENERAISOlavo de Carvalho para o BSM: ""A longa omissão dos generais diante da destruição do país pelos comuni…",[],382
1270342833065603073,2020-06-09 13:11:47,RT @EdRollins: Joe Biden now claims he opposes defunding the police.Here’s a list of issues he’s flip-flopped on:AbortionImmigration…,[],5456
1270342718087192581,2020-06-09 13:11:20,RT @realDonaldTrump: Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after app…,[],16825
1270342356705914882,2020-06-09 13:09:54,"RT @realDonaldTrump: Poll: Trump Better Than Biden On Economic Growth, 55% to 34%. That’s all? Who are the 34%?",[],10969
1270342305527054337,2020-06-09 13:09:42,RT @bernardopkuster: O povo pediu e foi atendido. Neste momento esta sendo transmitida ao vivo a reunião do Presidente e seus ministros.,[],1576
1270322844430471168,2020-06-09 11:52:22,"RT @tvbrasilgov: #AoVivo: Acompanhe a 34ª Reunião do Conselho de Governo, com o presidente @jairbolsonaro e ministros de Estado. https://t.…","[{'text': 'AoVivo', 'indices': [17, 24]}]",1075
1270322758287790080,2020-06-09 11:52:01,RT @jairbolsonaro: . Ministros expõem ações de suas pastas diante do covid-19: https://t.co/EDhtGqL2cM,[],3203
1270321369201422336,2020-06-09 11:46:30,"RT @canalCCore2: Links adicionados, agora a busca funciona em todo contudo da noticia, porem ao selecionar exibe uma miniatura e abre uma j…",[],24
1270321265065295872,2020-06-09 11:46:05,RT @allantercalivre: Ainda estou sem acreditar que @alexandre FEZ TUDO ISSO baseando-se na narrativa que o Fruta colocou no depoimento dele…,[],2079
1270321190599614465,2020-06-09 11:45:47,"RT @allantercalivre: Uma investigação MUITO MINUCIOSA precisa ser feita entre Doria, Alexandre De Moraes, PSDB e Câmara de Comércio e Indús…",[],5536
1270321143854104578,2020-06-09 11:45:36,RT @canalCCore2: imagina se fosse o uma pessoa comum comparando um ministro do STF. Iria preso.Isso é uma falta de respeito com o povo que…,[],42
1270321025448923136,2020-06-09 11:45:08,"RT @Fa1ryNight: O Professor Augusto Zimmermann PhD, LLB, LLM da Associação Australiana de Teoria Jurídica da Austrália Ocidental ('WALTA')…",[],77
1270320968179859462,2020-06-09 11:44:54,RT @canalCCore2: KCT https://t.co/UdPdRmz0ak,[],30
1270320923355291648,2020-06-09 11:44:44,"RT @jairbolsonaro: -Após pedirem desculpas pela Hidroxicloroquina, agora a OMS conclui que pacientes assintomáticos (a grande maioria) não…",[],19186
1270320877800960001,2020-06-09 11:44:33,RT @Bela_e_Moral: Eita poha!!! A FILHA do Zé Dirceu comanda o financeiro do estádio da Arena do Corinthians??? https://t.co/9qtJ7wAliU,[],243
1270320776164581376,2020-06-09 11:44:09,RT @Clauwild1: O ódio da esquerda é por não ter conseguido voltar ao Planalto. A pandemia é perfeita para turbinar seus planos. Se o poste…,[],1258
1270320729003827201,2020-06-09 11:43:57,RT @canalCCore2: Fico imaginando quantas pessoas não acabaram cometendo suicídio pelo medo da pandemia.E a OMS quer pedir desculpas agora .,[],106
1270320671860686851,2020-06-09 11:43:44,RT @canalCCore2: Olha o motivo @davialcolumbre   que não pode ter checagem de fato e regulamentação. https://t.co/QcgUUM4B69,[],73
1270320455472332801,2020-06-09 11:42:52,"RT @BolsonaroSP: Tenho total ciência da cobrança entre apoiadores de que parlamentares não fiquem apenas nas redes, usem a Justiça contra a…",[],4947
1270320047689535489,2020-06-09 11:41:15,RT @canalCCore2: como destruiram a alemanha https://t.co/5j0baf4vnG https://t.co/OWTdhnXJgv,[],16
1270320000964886530,2020-06-09 11:41:04,RT @canalCCore2: https://t.co/HyLpSuRD5H Convite valido para o dia 9/06codigo:1eac8g9iu,[],14
1270318941756444678,2020-06-09 11:36:51,"RT @MatozoSella: @CesarNetoReal @UNBORNness @jairbolsonaro @opropriolavo Quer dizer catolico não é cristão?  É so vocês , a palavra ja diz…",[],3
1270318382710231041,2020-06-09 11:34:38,"RT @opropriopontes: E ai? Ja que avisaram o @allantercalivre q existe um crime de subir hashtag, como fica essa daqui???Vamos trabalhar, M…",[],1273
1270318220512309253,2020-06-09 11:33:59,RT @WiLLBarbudo: Aí @minsaude não atende essa ordem ilegal do @alexandre do STF. Não tem essa de interferir em outros Poderes. Ainda mais p…,[],126
1270318115658792960,2020-06-09 11:33:34,RT @PierreLourenco: Acabei de protocolar no MPF representação contra o periódico O Antagonista em razão da nota publicada no dia de hoje (0…,[],3046
1270318070431694849,2020-06-09 11:33:24,RT @mizaelizidoro: 1) Um pouquinho do que vem por aí sobre o crápula do Felipe Neto (MANTENHA SEUS FILHOS LONGE DELE!).,[],779
1270318018258665473,2020-06-09 11:33:11,RT @canalCCore2: Eu estou desde fevereiro falando que o coronavírus é mais difícil de pegar que tuberculose.Você nunca viu ngm usar mascar…,[],81
1270317950000652288,2020-06-09 11:32:55,RT @Sikeiraj1: Você gostaria que tivesse eleições para ministro do supremo em 4 e 4 anos  ?  @STF_oficial @jairbolsonaro @exercitooficial,[],1557
1270317878940753920,2020-06-09 11:32:38,"RT @Malya13489301: @OtoniDepFederal Rodrigo Maia, Alcolumbre e STF se levantaram contra o governo e a favor de todas as falácias da OMS. Q…",[],32
1270317831561924609,2020-06-09 11:32:27,RT @OtoniDepFederal: Milhares de pessoas morreram quando a OMS lhes negou o direito à  Hidroxicloriquina e depois reconheceu o erro. Milhar…,[],1583
1270317621045604353,2020-06-09 11:31:36,RT @BrandonStraka: I haven’t been a conservative very long-still getting used 2 how y’all do some things.Soooo-regarding China destroying…,[],5192
1270317582130778115,2020-06-09 11:31:27,"RT @AdrillesRJorge: OMS conclui que assintomáticos raramente  transmitem o vírus chinês. Você,que ficou em casa, sem sintoma, sem trabalho,…",[],7569
1270317342623518720,2020-06-09 11:30:30,RT @lvaroCasimiro4: @bernardopkuster @jairbolsonaro O Anta que Agoniza perdeu a pouca credibilidade que ainda tinham!A OMS acaba de dar r…,[],3
1270317281088765954,2020-06-09 11:30:15,"RT @bernardopkuster: E aí, @jairbolsonaro, não vai processar? https://t.co/Y81rxP1VMC",[],3108
1270317246125084672,2020-06-09 11:30:07,RT @CrisMenshova: Na Coreia do Norte teve Antifas protestando?🤔,[],260
1270317219738771457,2020-06-09 11:30:01,RT @LionelMedia: All negotiating tends to include that one condition that you know no one is going to agree to but you want to ask for anyw…,[],21
1270316952133808128,2020-06-09 11:28:57,"RT @AishaQueenCA: @RealJamesWoods Twitter's moderation team hard at work censoring ""hurtful"" opinions : https://t.co/jm7peSFbEW",[],28
1270316892859891712,2020-06-09 11:28:43,RT @Unaffraid1: @RealJamesWoods @steph93065 Yes it's an election year.  We will be locked out and suspended many times,[],1
1270316851374043143,2020-06-09 11:28:33,RT @MelissaUSAIs1: @RealJamesWoods This is why I have a Parler account. A lot of conservatives have moved there. They support the right to…,[],3
1270316791064154112,2020-06-09 11:28:18,RT @Denlesks: @RealJamesWoods President Trump identifies the leader of the insurrection in America https://t.co/ObmvpmHk4n,[],118
1270316725519581184,2020-06-09 11:28:03,"RT @RealJamesWoods: This happened to another conservative verified user I know. They locked her account, then immediately unlocked it. I’m…",[],5718
