id,created_at,text,hashtags,retweets
1270359884358283264,2020-06-09 14:19:33,Spekulationen über Nachfolge: Eurogruppen-Chef Centeno kündigt Rücktritt an https://t.co/agO3ccKDc8,[],0
1270353470982250497,2020-06-09 13:54:04,*Oft gelesen*  Coronavirus-Liveticker: +++ 15:25 Eilbeschlüsse: Bordelle bleiben geschlossen +++ https://t.co/eOyPYZJNYt,[],2
1270353469421977602,2020-06-09 13:54:03,*Oft gesehen* Nur Bikini statt Extravaganz: So sieht Cardi B ungeschminkt und unfrisiert aus… https://t.co/7ikSgd0w8P,[],0
1270353464632020997,2020-06-09 13:54:02,+ Junge seit 1995 vermisst: Ermittler prüfen Verbindung zum Fall Maddie https://t.co/DgntDAID1l,[],0
1270352207259394048,2020-06-09 13:49:02,Nachtaktiv und trotzdem blind: Seltene Papageienart überrascht Forscher https://t.co/HlVdqd523B,[],5
1270345206282489858,2020-06-09 13:21:13,Corona LIVE: Familienministerin Giffey zu Gewalt gegen Frauen in der Krise https://t.co/97upkbMUft,[],0
1270344785023229953,2020-06-09 13:19:33,+ Diebe stehlen Transporter - nur wegen wertvoller Ladung https://t.co/Os86gytWBJ,[],0
1270344784079511552,2020-06-09 13:19:33,Der Mann der Queen wird 99: Keine Geburtstagsparty für Prinz Philip https://t.co/zt4aYiLHsb,[],4
1270337231505338369,2020-06-09 12:49:32,"Geld, Aufklärung, Hinsehen: Bei Missbrauchstaten reicht Empörung nicht https://t.co/hZCfW1ZKlD",[],0
1270336478644563968,2020-06-09 12:46:32,+ Berliner Polizei veröffentlicht Corona-Song https://t.co/CPUvsaNXd3,[],4
1270330058767347713,2020-06-09 12:21:02,"""Schleichender Prozess"": Charlotte Würdig erklärt Trennung von Sido https://t.co/OCZNvppcyr",[],0
1270328300259299329,2020-06-09 12:14:02,+ Häftlinge brechen aus Gefängnis aus - und versprechen Rückkehr https://t.co/cHpSf8gY3q,[],1
1270324895638052864,2020-06-09 12:00:31,Corona LIVE: Statement zu den Massentests in Göttingen https://t.co/CKDfPHPGS5,[],2
1270322761118789632,2020-06-09 11:52:02,Als erstes Bundesland: Thüringen hebt Kontaktbeschränkungen auf https://t.co/Ri8GaFdV89,[],7
1270320248902701056,2020-06-09 11:42:03,+ Tierquäler tötet Schwänin mit Luftgewehr https://t.co/2szMVdTaqY,[],6
1270315461725450244,2020-06-09 11:23:02,Person der Woche: AKK: Vier Wochen zu früh - oder? https://t.co/1jIxEoEpjk,[],1
1270312192743624705,2020-06-09 11:10:02,+ AfD-Verfassungsklage gegen Kritik Seehofers erfolgreich https://t.co/SsYVuOZcvn,[],2
1270308294817542144,2020-06-09 10:54:33,*Oft gelesen*  Coronavirus-Liveticker: +++ 12:43 Studie: Antikörper in weniger als einem Prozent der Hamburger Blut… https://t.co/GFmD79MPnk,[],0
1270308293466927104,2020-06-09 10:54:33,*Oft gesehen* Schon zwei Tote in Berchtesgaden: Lebensgefährlicher Instagram-Trend erzürnt Nationalpark… https://t.co/jK8Xn36lCZ,[],7
1270308289662693378,2020-06-09 10:54:32,Frust über Discounter-Kollektion: Angelina Kirschs Jeans sind zu eng https://t.co/QWhzvsmm4r,[],0
1270304140787236866,2020-06-09 10:38:02,+ Model Bar Refaeli muss Sozialstunden leisten https://t.co/FhLd8LBtHh,[],1
1270300362084249600,2020-06-09 10:23:02,Lilium wirbt frisches Geld ein: Münchener Flugtaxi-Startup wird zum Einhorn https://t.co/G0bdaiJzkx,[],1
1270295833620037632,2020-06-09 10:05:02,"+ Militär feuert mit Artillerie auf brennende Öl-Quelle, um sie zu löschen https://t.co/p42hLF9AJV",[],1
1270292939659304960,2020-06-09 09:53:32,"Rassistische Tweets aufgetaucht: ""The Flash""-Darsteller ist seinen Job los https://t.co/xz5St1nGDU",[],6
1270287781344841728,2020-06-09 09:33:02,+ Forscher: Seltener Nachtsittich sieht nachts gar nicht so gut https://t.co/v2gFRAOhFz,[],4
1270284287796002818,2020-06-09 09:19:09,"RT @benkonietzny: Auweia! Genau das ist der Spin, den die AfD aus dem Urteil drehen will und hat mit den Tatsachen nichts zu tun. Nur die…",[],6
1270284130127949824,2020-06-09 09:18:32,"RT @ntvde_Politik: ""Die #AfD wird jede Einladung, ihr krudes Selbstverständnis höchstrichterlich bestätigen zu lassen, dankend annehmen und…","[{'text': 'AfD', 'indices': [24, 28]}]",5
1270283850787291138,2020-06-09 09:17:25,RT @louisklamroth: Mit Robert Habeck über viele Themen Gesprochen. Auch über strukturellen Rassismus bei der Polizei. Er findet die Polizei…,[],2
1270279726809051137,2020-06-09 09:01:02,+ Charlotte Würdig spricht über Trennung von Sido https://t.co/QPwrocfLSI,[],0
1270278224346562561,2020-06-09 08:55:03,Hymnenpolitik im US-Fußball: Rapinoes Team will Kniefall-Verbot kippen https://t.co/oaEEZQ0KOu,[],2
1270271169791311872,2020-06-09 08:27:02,+ Radar gibt Geheimnisse versunkener Römer-Stadt preis https://t.co/B2EZ55ya4t,[],0
1270270670228746240,2020-06-09 08:25:02,"Union Investment-Chef Reinke: ""Die Anleger waren sehr besonnen"" https://t.co/jqsdrRE2wQ",[],0
1270267646030708738,2020-06-09 08:13:01,+ AfD-Verfassungsklage gegen Kritik Seehofers erfolgreich https://t.co/KsSkQeZIik,[],1
1270264347747639296,2020-06-09 07:59:55,LIVE: Jahresbericht der Antidiskriminierungsstelle https://t.co/SjYKMKCux8,[],1
1270262998754451456,2020-06-09 07:54:33,"+ Neues Geländer bringt Golden Gate Bridge zum ""Singen"" https://t.co/GkYUBfsdeu",[],3
1270262997764599809,2020-06-09 07:54:33,Problem Wohnungsübergabe: Was Mieter beim Auszug beachten müssen https://t.co/iyjA6DEe7L,[],1
1270262995814248449,2020-06-09 07:54:33,*Oft gelesen*  Coronavirus-Liveticker: +++ 09:46 EU-Behörde prüft bedingte Zulassung von Remdesivir +++ https://t.co/rVtREFGmJo,[],1
1270256700843425794,2020-06-09 07:29:32,Überraschung in der Bundesliga: Hoffenheim trennt sich von Coach Schreuder https://t.co/GBiTWIVvrR,[],1
1270255445312016385,2020-06-09 07:24:33,Verdopplung seit 2015: Beratungsstelle meldet mehr Rassismusfälle https://t.co/kKqMY8cIKH,[],2
1270255064209190912,2020-06-09 07:23:02,+ FDP: Corona-Konjunkturpaket auch für neue Kampfjets nutzen https://t.co/OgsvzdPeBL,[],6
1270248143045554176,2020-06-09 06:55:32,Um mehr als 30 Prozent: Deutsche Exporte brechen drastisch ein https://t.co/jP2fsQ7zCU,[],0
1270246758451273728,2020-06-09 06:50:01,+ Trumps Hollywood-Stern mit Kot und Farbe verunstaltet https://t.co/bKEffXt2xO,[],9
1270240468098445312,2020-06-09 06:25:02,"Medikamentenkonsum im Fußball: ""Ibuprofen wird wie Smarties gegessen"" https://t.co/DcP05Xuuec",[],3
1270238706301976576,2020-06-09 06:18:02,+ Der Osten freut sich über Sommerwetter https://t.co/GE7DdOWMs1,[],3
1270237572858433537,2020-06-09 06:13:31,+ Deutscher Export bricht im April um mehr als 30 Prozent ein https://t.co/FTfMtkoCUx,[],9
1270232544454127616,2020-06-09 05:53:33,Neue App nur für neue Geräte: Sonos-Nutzer müssen sich jetzt entscheiden https://t.co/BTdhTBPZRY,[],1
1270230401890439168,2020-06-09 05:45:02,+ Bettwäsche entlarvt Einbrecher https://t.co/x8qKowNLCt,[],0
1270224992744075264,2020-06-09 05:23:32,"McAllister im ""ntv Frühstart"": ""Johnson muss jetzt führen"" https://t.co/zoYX79SCAy",[],2
1270222101782212610,2020-06-09 05:12:03,+ Mehrheit der Deutschen sieht Trump als Spalter https://t.co/UhIy12fcEa,[],17
1270217567030796288,2020-06-09 04:54:02,*Oft gelesen*  Coronavirus-Liveticker: +++ 06:46 New York startet mit ersten Lockerungen in den Vier-Stufen-Plan +++ https://t.co/pCKTcD86mw,[],2
1270217443839901696,2020-06-09 04:53:32,Verfassungsrichter urteilen: Wo beginnt der Gegenschlag? https://t.co/lKu5c3yJn9,[],2
1270214043660218368,2020-06-09 04:40:02,+ Geliebte zerstückelt: Russischer Historiker vor Gericht https://t.co/m2XrKx1Yv8,[],0
1270209766745206785,2020-06-09 04:23:02,Bund und Land springen ein: Staatshilfen retten Modemarke Tom Tailor https://t.co/AEbsA8jCJq,[],2
1270205870689841159,2020-06-09 04:07:33,+ Geliebte zerstückelt: Prozess gegen russischen Historiker startet https://t.co/sU9PCkQaYm,[],0
1270201967508197377,2020-06-09 03:52:02,Klub will CL-Sperre verhindern: Man City und Uefa zittern im Gleichschritt https://t.co/u5KPzRosjF,[],0
1270197435193679872,2020-06-09 03:34:02,+ Videos des Tages https://t.co/OYKzKk1VFW,[],0
1270194541107134464,2020-06-09 03:22:32,Verhandeln USA und Russland?: Atomabkommen steht auf der Kippe https://t.co/DWGuVC6OLI,[],0
1270186992655937536,2020-06-09 02:52:32,Nach Säureanschlag auf Manager: Innogy setzt 100.000 Euro Belohnung aus https://t.co/iranTmgCEQ,[],1
1270179570323353600,2020-06-09 02:23:03,Aussage im Epstein-Skandal?: Prinz Andrew wehrt sich gegen US-Vorwürfe https://t.co/PkCdSo0XQW,[],0
1270172269822779393,2020-06-09 01:54:02,*Oft gelesen*  Coronavirus-Liveticker: +++ 03:43 Brasilien zieht Bewerbung für Frauenfußball-WM zurück +++ https://t.co/65zqePe6QQ,[],0
1270172268358889472,2020-06-09 01:54:02,*Oft gesehen* Videoaufnahmen aus Seattle: Autofahrer schießt auf Anti-Rassismus-Protestler https://t.co/SyNLZxACc2… https://t.co/OPEHcstdLI,[],4
1270171640165351429,2020-06-09 01:51:32,"""Er wird die Welt verändern"": Biden trifft Floyds Familie https://t.co/NliH7nPwF1",[],3
1270164339689844736,2020-06-09 01:22:31,Pädophilen-Netz in Münster: Drei neue Opfer in Missbrauchsfall ermittelt https://t.co/f9hzQ7KFqb,[],4
1270156792656363520,2020-06-09 00:52:32,Leichnam in Gold-Sarg aufgebahrt: Floyds Peiniger erscheint vor Gericht https://t.co/niwjaU7lVc,[],2
1270149616948834305,2020-06-09 00:24:01,Kommunikation mit Südkorea: Nordkorea bricht Verbindung ab https://t.co/8AnD23Fgk6,[],3
