id,created_at,text,hashtags,retweets
1270354970949423104,2020-06-09 14:00:01,RT @piratenparteibb: #GroKo entscheidet: #Verfassungsschutz soll den #Staatstrojaner einsetzen dürfen. Laufende Verfassungsbeschwerden werd…,"[{'text': 'GroKo', 'indices': [21, 27]}, {'text': 'Verfassungsschutz', 'indices': [41, 59]}, {'text': 'Staatstrojaner', 'indices': [69, 84]}]",29
1270345817354833926,2020-06-09 13:23:39,"Hey du! Ja, du! Wir suchen dich!Wir haben eine #Ausschreibung für die #Themenbeauftragung  mehrerer Bereiche ver… https://t.co/pxXdQXC3VS","[{'text': 'Ausschreibung', 'indices': [50, 64]}, {'text': 'Themenbeauftragung', 'indices': [73, 92]}]",14
1270339881173168128,2020-06-09 13:00:04,RT @piratenrlp: Land auf Land ab fordern wir #Piraten seid Jahren eine schnellere und bessere #Digitalisierung https://t.co/YH45Yzk7R6,"[{'text': 'Piraten', 'indices': [45, 53]}, {'text': 'Digitalisierung', 'indices': [94, 110]}]",5
1270324770685542400,2020-06-09 12:00:01,"RT @MoAsumang: Das rockt!! @CarolinKebekushat mit UNS, der #afrogerman Community nen Clip gemacht in dem WIR mal sagen was wir von #Rassis…","[{'text': 'afrogerman', 'indices': [60, 71]}]",546
1270309682046021632,2020-06-09 11:00:04,"RT @ppinternational: Pirates around the world can use the hashtags #PPInternational #PPEU #VotePirate to get their Pirate announcements, ev…","[{'text': 'PPInternational', 'indices': [67, 83]}, {'text': 'PPEU', 'indices': [84, 89]}, {'text': 'VotePirate', 'indices': [90, 101]}]",8
1270294573739323394,2020-06-09 10:00:01,RT @ppinternational: Preparing for a possible arrest in the United States.  I'd also add write your local @NLGnews phone number on your arm…,[],4
1270279482646159361,2020-06-09 09:00:03,RT @VinPei: Wie ordnet man denn das jetzt ein. #Trump schürt das Feuer und die @usembvienna scheint um Schadensbegrenzung bemüht:https://t…,"[{'text': 'Trump', 'indices': [47, 53]}]",7
1270264376910544897,2020-06-09 08:00:02,"RT @piratenparteiat: #Wahlkampfkosten-Überschreitung = #Wahlbetrug. Was ist das für eine Gesetzgebung, die es Wiederholungstätern erlaubt,…","[{'text': 'Wahlkampfkosten', 'indices': [21, 37]}, {'text': 'Wahlbetrug', 'indices': [55, 66]}]",13
1270249276795387914,2020-06-09 07:00:02,"RT @BodoNoeske: #Wahl #Demokratie #innovation Bei der #Europawahl haben 13,7 Prozent für #Parteien mit Ergebnissen unterhalb von 5 Prozent…","[{'text': 'Wahl', 'indices': [16, 21]}, {'text': 'Demokratie', 'indices': [22, 33]}, {'text': 'innovation', 'indices': [34, 45]}, {'text': 'Europawahl', 'indices': [54, 65]}, {'text': 'Parteien', 'indices': [89, 98]}]",37
1270234178660024321,2020-06-09 06:00:02,"RT @PIRATEN_Saar: Wir #PIRATEN sagen: In den Farben getrennt, im Herzen vereint. Eine andere Hautfarbe zu haben, ist kein Verbrechen und di…","[{'text': 'PIRATEN', 'indices': [22, 30]}]",38
1270083184789794820,2020-06-08 20:00:02,"RT @PiratenBW: “Dieser Antrag ist endlich ein Vorstoß in Richtung der Legalisierung, die Cannabis-Prohibition lässt sich schon lange nicht…",[],20
1270068097446264835,2020-06-08 19:00:05,"RT @PiratenBW: Die Grünen beim Wahlkampf: Wir wollen Gras auf jeden Fall legalisieren!Auch die Grünen, sobald gewählt: Nein. https://t.co/…",[],18
1270052987503812608,2020-06-08 18:00:03,"RT @PiratenTH: Viel zu viel, wetten. ""Was wissen Fitness-Tracker über uns? | The Internet of Everything""https://t.co/RfIOFVimDW",[],6
1270047366905843719,2020-06-08 17:37:43,"RT @echo_pbreyer: Heute vor 71 Jahren erschien George Orwells Roman ""1984"". Es ist bitter zu sehen, wie nahe seine Erwartungen an eine dama…",[],87
1270037879838949378,2020-06-08 17:00:01,"Um 21 Uhr heute, Mo., 08.06.2020 gibts wieder einen #DickenEngel' im #PIRATEN-NRW-#Mumble.@sebulino stellt das neu… https://t.co/fKthTXqTvZ","[{'text': 'DickenEngel', 'indices': [52, 64]}, {'text': 'PIRATEN', 'indices': [69, 77]}, {'text': 'Mumble', 'indices': [82, 89]}]",5
1270022779199422464,2020-06-08 16:00:01,"Um 20 Uhr heute, Mo., 08.06.2020 machen wir wieder die Redaktionskonferenz der #PIRATEN-PR im #PIRATEN-NRW-#Mumble… https://t.co/9OZboTClPR","[{'text': 'PIRATEN', 'indices': [79, 87]}, {'text': 'PIRATEN', 'indices': [94, 102]}, {'text': 'Mumble', 'indices': [107, 114]}]",3
1270007682280366082,2020-06-08 15:00:01,RT @ag_wandel: Kann Europa #eGovernment? Ein Blick auf unsere Nachbarn lohnt sich. Heute: Irland.Ein Beitrag von @mcremer_de.https://t.co…,"[{'text': 'eGovernment', 'indices': [27, 39]}]",27
1269992598246170625,2020-06-08 14:00:05,RT @PiratenparteiSH: https://t.co/HpvNPkCRIW,[],15
1269977483773870080,2020-06-08 13:00:01,RT @vonpecka: @Europarl_CS How can the EP be more transparent and spend less money?1) Single seat for EP!2) Use general expenditure allow…,[],5
1269962385961426944,2020-06-08 12:00:02,"RT @PiratenBerlin: Neu auf unserem Blog: Diskussion am 8.6. 20 Uhr: Konjunkturpaket – was bringt es, wem nützt es? https://t.co/GGJtOfZQ8O…",[],6
1269947294813650946,2020-06-08 11:00:04,RT @Piratepartei: eine Frage (Piraten): Vor dem Hintergrund der Diskussionen rund um die später zurückgenommene Nominierung von Joanne Goeb…,[],4
1269932195491336192,2020-06-08 10:00:04,"RT @PiratePartyUK: ""After the coronavirus: the case for a new political movement in the UK"": Pirate Tam Winters makes a case for a new gras…",[],14
1269917094717599746,2020-06-08 09:00:03,"RT @chaosupdates: Open-Source-Software an Universitäten und Hochschulen – Gemeinsame Erklärung: Für freie, offene und communitybasierte Sof…",[],172
1269886888812388353,2020-06-08 07:00:02,"RT @PiratenWOB: #Piraten #NDS Keine Finanzierung privater Kliniken, keine Dienstpflicht https://t.co/tz0TQonerl","[{'text': 'Piraten', 'indices': [16, 24]}, {'text': 'NDS', 'indices': [25, 29]}]",6
1269871793285869569,2020-06-08 06:00:03,RT @piratenparteibb: Der Sourcecode der #CoronaApp liegt vor und hat auf den ersten Blick keine Hintertüren oder andere bedenklichen Strukt…,"[{'text': 'CoronaApp', 'indices': [40, 50]}]",22
1269720785867792385,2020-06-07 20:00:00,"Eine für viele sicherlich emotionale und aufreibende Woche liegt hinter uns. Wir hoffen, Ihr alle könnt heute Abend… https://t.co/1TPKG66SRu",[],27
1269713236565340166,2020-06-07 19:30:00,Wochenvorschau auf die Bundestermine im #PIRATEN-#Mumble für die Kalenderwoche 24/2020 (08.06. – 14.06.2020). Sie… https://t.co/B0BIMKVa5Y,"[{'text': 'PIRATEN', 'indices': [40, 48]}, {'text': 'Mumble', 'indices': [49, 56]}]",10
1269705687745146880,2020-06-07 19:00:00,"#PIRATEN - Rundschau 07.06.2020Statt Konzerne zu pampern, sollte die Rekommunalisierung der #Gesundheitsversorgung… https://t.co/twgg8bIH9X","[{'text': 'PIRATEN', 'indices': [0, 8]}, {'text': 'Gesundheitsversorgung', 'indices': [93, 115]}]",9
1269698152552173568,2020-06-07 18:30:04,RT @ppinternational: PPI members and non-members can continue filling out this 'Needs Assessment' form presented before  Pirate Parties Int…,[],2
1269690586698788873,2020-06-07 18:00:00,#PIRATEN - Rundschau 07.06.2020Ein Gastbeitrag von @Mike_Wall_Pirat für die @PiratenNDS über ein 'staatsgefährdend… https://t.co/PNlBuRfKm5,"[{'text': 'PIRATEN', 'indices': [0, 8]}]",5
1269683045902225411,2020-06-07 17:30:02,RT @piratenparteibb: Klage gegen Google: #Chrome soll auch im Inkognito-Modus Nutzerdaten sammeln.#Privatsphäre#Datensouveränitäthttps:…,"[{'text': 'Chrome', 'indices': [41, 48]}, {'text': 'Privatsphäre', 'indices': [99, 112]}, {'text': 'Datensouveränität', 'indices': [113, 131]}]",32
1269675487946633216,2020-06-07 17:00:00,#PIRATEN - Rundschau 07.06.2020Da isser - der Newsletter der @PiratenNDS für Juni 2020.https://t.co/EOQ1cemuRj#Niedersachsen,"[{'text': 'PIRATEN', 'indices': [0, 8]}, {'text': 'Niedersachsen', 'indices': [113, 127]}]",2
1269667944495304706,2020-06-07 16:30:01,RT @PiratenBerlin: Diesen Montag geht es weiter mit unseren Corona Gesprächen. Diesmal dreht sich die Diskussion um das riesige Konjunkturp…,[],14
1269660388515184642,2020-06-07 16:00:00,"#PIRATEN - Rundschau 07.06.2020Hier kommt der Artikel der @PiratenNDS zum #Weltkindertag:""Mehr Mitbestimmung für… https://t.co/kMLhvz0EaH","[{'text': 'PIRATEN', 'indices': [0, 8]}, {'text': 'Weltkindertag', 'indices': [75, 89]}]",4
1269652844615012352,2020-06-07 15:30:01,RT @echo_pbreyer: . @Airport_Mag wrote an interesting arcticle on the use of lie detectors in airport security. I am deeply concerned about…,[],15
1269645289524277248,2020-06-07 15:00:00,"#PIRATEN - Rundschau 07.06.2020Diskutiert mit den @PiratenBerlin am Mo., 08.06.2020 ab 20 Uhr im Mumble:""… https://t.co/SKLEkUnTFP","[{'text': 'PIRATEN', 'indices': [0, 8]}]",5
1269637747872071680,2020-06-07 14:30:02,"RT @ag_wandel: Drei Beispiele, warum Social-Networks Demokratisierungsbewegungen unterstützen können, nennen uns @ManuelFeldmann und @sebul…",[],29
